expert_id,criterion_left,criterion_right,comparison_ratio
Expert_5,C3,C4,2.0
Expert_5,C3,C5,2.0
Expert_5,C3,C6,1.0
Expert_5,C3,C7,2.0
Expert_5,C4,C5,1.0
Expert_5,C4,C6,1.0
Expert_5,C4,C7,1.0
Expert_5,C5,C6,0.5
Expert_5,C5,C7,1.0
Expert_5,C6,C7,2.0
Expert_6,C1,C2,2.0
Expert_6,C1,C3,2.0
Expert_6,C1,C4,3.0
Expert_6,C1,C5,3.0
Expert_6,C1,C6,2.0
Expert_6,C1,C7,2.0
Expert_6,C2,C3,2.0
Expert_6,C2,C4,2.0
Expert_6,C2,C5,3.0
Expert_6,C2,C6,1.0
Expert_6,C2,C7,2.0
Expert_6,C3,C4,2.0
Expert_6,C3,C5,2.0
Expert_6,C3,C6,2.0
Expert_6,C3,C7,2.0
Expert_6,C4,C5,2.0
Expert_6,C4,C6,1.0
Expert_6,C4,C7,2.0
Expert_6,C5,C6,2.0
Expert_6,C5,C7,1.0
Expert_6,C6,C7,2.0
Expert_7,C1,C2,2.0
Expert_7,C1,C3,2.0
Expert_7,C1,C4,3.0
Expert_7,C1,C5,3.0
Expert_7,C1,C6,2.0
Expert_7,C1,C7,2.0
Expert_7,C2,C3,1.0
Expert_7,C2,C4,3.0
Expert_7,C2,C5,3.0
Expert_7,C2,C6,1.0
Expert_7,C2,C7,2.0
Expert_7,C3,C4,2.0
Expert_7,C3,C5,2.0
Expert_7,C3,C6,1.0
Expert_7,C3,C7,2.0
Expert_7,C4,C5,0.5
Expert_7,C4,C6,1.0
Expert_7,C4,C7,2.0
Expert_7,C5,C6,1.0
Expert_7,C5,C7,1.0
Expert_7,C6,C7,2.0
Expert_8,C1,C2,2.0
Expert_8,C1,C3,3.0
Expert_8,C1,C4,3.0
Expert_8,C1,C5,3.0
Expert_8,C1,C6,2.0
Expert_8,C1,C7,2.0
Expert_8,C2,C3,2.0
Expert_8,C2,C4,2.0
Expert_8,C2,C5,3.0
Expert_8,C2,C6,2.0
Expert_8,C2,C7,2.0
Expert_8,C3,C4,2.0
Expert_8,C3,C5,2.0
Expert_8,C3,C6,1.0
Expert_8,C3,C7,2.0
Expert_8,C4,C5,1.0
Expert_8,C4,C6,1.0
Expert_8,C4,C7,1.0
Expert_8,C5,C6,0.5
Expert_8,C5,C7,1.0
Expert_8,C6,C7,1.0
Expert_9,C1,C2,2.0
Expert_9,C1,C3,2.0
Expert_9,C1,C4,3.0
Expert_9,C1,C5,3.0
Expert_9,C1,C6,2.0
Expert_9,C1,C7,3.0
Expert_9,C2,C3,1.0
Expert_9,C2,C4,2.0
Expert_9,C2,C5,3.0
Expert_9,C2,C6,2.0
Expert_9,C2,C7,2.0
Expert_9,C3,C4,1.0
Expert_9,C3,C5,2.0
Expert_9,C3,C6,1.0
Expert_9,C3,C7,0.5
Expert_9,C4,C5,1.0
Expert_9,C4,C6,1.0
Expert_9,C4,C7,1.0
Expert_9,C5,C6,0.5
Expert_9,C5,C7,2.0
Expert_9,C6,C7,1.0
Expert_10,C1,C2,2.0
Expert_10,C1,C3,2.0
Expert_10,C1,C4,2.0
Expert_10,C1,C5,6.0
Expert_10,C1,C6,2.0
Expert_10,C1,C7,3.0
Expert_10,C2,C3,1.0
Expert_10,C2,C4,2.0
Expert_10,C2,C5,3.0
Expert_10,C2,C6,2.0
Expert_10,C2,C7,2.0
Expert_10,C3,C4,0.5
Expert_10,C3,C5,2.0
Expert_10,C3,C6,1.0
Expert_10,C3,C7,2.0
Expert_10,C4,C5,2.0
Expert_10,C4,C6,1.0
Expert_10,C4,C7,1.0
Expert_10,C5,C6,0.5
Expert_10,C5,C7,1.0
Expert_10,C6,C7,2.0
Expert_11,C1,C2,2.0
Expert_11,C1,C3,2.0
Expert_11,C1,C4,3.0
Expert_11,C1,C5,3.0
Expert_11,C1,C6,2.0
Expert_11,C1,C7,4.0
Expert_11,C2,C3,2.0
Expert_11,C2,C4,2.0
Expert_11,C2,C5,3.0
Expert_11,C2,C6,0.3333333333333333
Expert_11,C2,C7,2.0
Expert_11,C3,C4,2.0
Expert_11,C3,C5,2.0
Expert_11,C3,C6,1.0
Expert_11,C3,C7,2.0
Expert_11,C4,C5,1.0
Expert_11,C4,C6,1.0
Expert_11,C4,C7,2.0
Expert_11,C5,C6,0.5
Expert_11,C5,C7,1.0
Expert_11,C6,C7,2.0
Expert_12,C1,C2,2.0
Expert_12,C1,C3,2.0
Expert_12,C1,C4,3.0
Expert_12,C1,C5,5.0
Expert_12,C1,C6,2.0
Expert_12,C1,C7,2.0
Expert_12,C2,C3,2.0
Expert_12,C2,C4,2.0
Expert_12,C2,C5,3.0
Expert_12,C2,C6,1.0
Expert_12,C2,C7,3.0
Expert_12,C3,C4,2.0
Expert_12,C3,C5,2.0
Expert_12,C3,C6,1.0
Expert_12,C3,C7,2.0
Expert_12,C4,C5,2.0
Expert_12,C4,C6,1.0
Expert_12,C4,C7,3.0
Expert_12,C5,C6,0.3333333333333333
Expert_12,C5,C7,1.0
Expert_12,C6,C7,2.0
Expert_13,C1,C2,2.0
Expert_13,C1,C3,2.0
Expert_13,C1,C4,3.0
Expert_13,C1,C5,3.0
Expert_13,C1,C6,2.0
Expert_13,C1,C7,2.0
Expert_13,C2,C3,2.0
Expert_13,C2,C4,2.0
Expert_13,C2,C5,3.0
Expert_13,C2,C6,2.0
Expert_13,C2,C7,2.0
Expert_13,C3,C4,0.5
Expert_13,C3,C5,2.0
Expert_13,C3,C6,1.0
Expert_13,C3,C7,2.0
Expert_13,C4,C5,0.5
Expert_13,C4,C6,1.0
Expert_13,C4,C7,2.0
Expert_13,C5,C6,1.0
Expert_13,C5,C7,1.0
Expert_13,C6,C7,2.0
Expert_14,C1,C2,1.0
Expert_14,C1,C3,2.0
Expert_14,C1,C4,3.0
Expert_14,C1,C5,3.0
Expert_14,C1,C6,1.0
Expert_14,C1,C7,2.0
Expert_14,C2,C3,2.0
Expert_14,C2,C4,2.0
Expert_14,C2,C5,3.0
Expert_14,C2,C6,2.0
Expert_14,C2,C7,2.0
Expert_14,C3,C4,2.0
Expert_14,C3,C5,2.0
Expert_14,C3,C6,2.0
Expert_14,C3,C7,1.0
Expert_14,C4,C5,2.0
Expert_14,C4,C6,1.0
Expert_14,C4,C7,1.0
Expert_14,C5,C6,1.0
Expert_14,C5,C7,1.0
Expert_14,C6,C7,2.0
Expert_15,C1,C2,2.0
Expert_15,C1,C3,2.0
Expert_15,C1,C4,3.0
Expert_15,C1,C5,3.0
Expert_15,C1,C6,2.0
Expert_15,C1,C7,2.0
Expert_15,C2,C3,2.0
Expert_15,C2,C4,2.0
Expert_15,C2,C5,3.0
Expert_15,C2,C6,2.0
Expert_15,C2,C7,2.0
Expert_15,C3,C4,1.0
Expert_15,C3,C5,2.0
Expert_15,C3,C6,1.0
Expert_15,C3,C7,2.0
Expert_15,C4,C5,2.0
Expert_15,C4,C6,1.0
Expert_15,C4,C7,2.0
Expert_15,C5,C6,0.5
Expert_15,C5,C7,1.0
Expert_15,C6,C7,2.0
Expert_16,C1,C2,1.0
Expert_16,C1,C3,2.0
Expert_16,C1,C4,3.0
Expert_16,C1,C5,3.0
Expert_16,C1,C6,2.0
Expert_16,C1,C7,3.0
Expert_16,C2,C3,2.0
Expert_16,C2,C4,3.0
Expert_16,C2,C5,2.0
Expert_16,C2,C6,2.0
Expert_16,C2,C7,2.0
Expert_16,C3,C4,2.0
Expert_16,C3,C5,2.0
Expert_16,C3,C6,1.0
Expert_16,C3,C7,2.0
Expert_16,C4,C5,1.0
Expert_16,C4,C6,1.0
Expert_16,C4,C7,1.0
Expert_16,C5,C6,1.0
Expert_16,C5,C7,1.0
Expert_16,C6,C7,2.0
Expert_17,C1,C2,2.0
Expert_17,C1,C3,3.0
Expert_17,C1,C4,3.0
Expert_17,C1,C5,4.0
Expert_17,C1,C6,1.0
Expert_17,C1,C7,3.0
Expert_17,C2,C3,2.0
Expert_17,C2,C4,2.0
Expert_17,C2,C5,3.0
Expert_17,C2,C6,2.0
Expert_17,C2,C7,2.0
Expert_17,C3,C4,2.0
Expert_17,C3,C5,2.0
Expert_17,C3,C6,1.0
Expert_17,C3,C7,2.0
Expert_17,C4,C5,2.0
Expert_17,C4,C6,1.0
Expert_17,C4,C7,1.0
Expert_17,C5,C6,1.0
Expert_17,C5,C7,1.0
Expert_17,C6,C7,1.0
Expert_18,C1,C2,1.0
Expert_18,C1,C3,2.0
Expert_18,C1,C4,3.0
Expert_18,C1,C5,4.0
Expert_18,C1,C6,2.0
Expert_18,C1,C7,4.0
Expert_18,C2,C3,2.0
Expert_18,C2,C4,4.0
Expert_18,C2,C5,3.0
Expert_18,C2,C6,2.0
Expert_18,C2,C7,2.0
Expert_18,C3,C4,2.0
Expert_18,C3,C5,2.0
Expert_18,C3,C6,1.0
Expert_18,C3,C7,1.0
Expert_18,C4,C5,2.0
Expert_18,C4,C6,1.0
Expert_18,C4,C7,1.0
Expert_18,C5,C6,3.0
Expert_18,C5,C7,1.0
Expert_18,C6,C7,1.0
Expert_19,C1,C2,2.0
Expert_19,C1,C3,2.0
Expert_19,C1,C4,2.0
Expert_19,C1,C5,3.0
Expert_19,C1,C6,2.0
Expert_19,C1,C7,4.0
Expert_19,C2,C3,2.0
Expert_19,C2,C4,2.0
Expert_19,C2,C5,3.0
Expert_19,C2,C6,2.0
Expert_19,C2,C7,2.0
Expert_19,C3,C4,2.0
Expert_19,C3,C5,2.0
Expert_19,C3,C6,1.0
Expert_19,C3,C7,2.0
Expert_19,C4,C5,2.0
Expert_19,C4,C6,1.0
Expert_19,C4,C7,1.0
Expert_19,C5,C6,1.0
Expert_19,C5,C7,1.0
Expert_19,C6,C7,2.0
Expert_20,C1,C2,2.0
Expert_20,C1,C3,2.0
Expert_20,C1,C4,3.0
Expert_20,C1,C5,3.0
Expert_20,C1,C6,2.0
Expert_20,C1,C7,3.0
Expert_20,C2,C3,2.0
Expert_20,C2,C4,3.0
Expert_20,C2,C5,3.0
Expert_20,C2,C6,2.0
Expert_20,C2,C7,2.0
Expert_20,C3,C4,2.0
Expert_20,C3,C5,2.0
Expert_20,C3,C6,2.0
Expert_20,C3,C7,1.0
Expert_20,C4,C5,2.0
Expert_20,C4,C6,0.5
Expert_20,C4,C7,2.0
Expert_20,C5,C6,0.5
Expert_20,C5,C7,1.0
Expert_20,C6,C7,1.0
Expert_21,C1,C2,2.0
Expert_21,C1,C3,3.0
Expert_21,C1,C4,1.0
Expert_21,C1,C5,4.0
Expert_21,C1,C6,2.0
Expert_21,C1,C7,2.0
Expert_21,C2,C3,2.0
Expert_21,C2,C4,2.0
Expert_21,C2,C5,3.0
Expert_21,C2,C6,2.0
Expert_21,C2,C7,2.0
Expert_21,C3,C4,1.0
Expert_21,C3,C5,2.0
Expert_21,C3,C6,1.0
Expert_21,C3,C7,2.0
Expert_21,C4,C5,2.0
Expert_21,C4,C6,1.0
Expert_21,C4,C7,2.0
Expert_21,C5,C6,2.0
Expert_21,C5,C7,1.0
Expert_21,C6,C7,1.0
Expert_22,C1,C2,1.0
Expert_22,C1,C3,2.0
Expert_22,C1,C4,3.0
Expert_22,C1,C5,3.0
Expert_22,C1,C6,2.0
Expert_22,C1,C7,2.0
Expert_22,C2,C3,2.0
Expert_22,C2,C4,3.0
Expert_22,C2,C5,3.0
Expert_22,C2,C6,2.0
Expert_22,C2,C7,2.0
Expert_22,C3,C4,2.0
Expert_22,C3,C5,2.0
Expert_22,C3,C6,2.0
Expert_22,C3,C7,2.0
Expert_22,C4,C5,2.0
Expert_22,C4,C6,1.0
Expert_22,C4,C7,4.0
Expert_22,C5,C6,0.5
Expert_22,C5,C7,1.0
Expert_22,C6,C7,2.0
Expert_23,C1,C2,1.0
Expert_23,C1,C3,2.0
Expert_23,C1,C4,3.0
Expert_23,C1,C5,5.0
Expert_23,C1,C6,2.0
Expert_23,C1,C7,4.0
Expert_23,C2,C3,2.0
Expert_23,C2,C4,2.0
Expert_23,C2,C5,3.0
Expert_23,C2,C6,1.0
Expert_23,C2,C7,2.0
Expert_23,C3,C4,1.0
Expert_23,C3,C5,2.0
Expert_23,C3,C6,1.0
Expert_23,C3,C7,1.0
Expert_23,C4,C5,2.0
Expert_23,C4,C6,1.0
Expert_23,C4,C7,2.0
Expert_23,C5,C6,0.5
Expert_23,C5,C7,1.0
Expert_23,C6,C7,2.0
Expert_24,C1,C2,1.0
Expert_24,C1,C3,2.0
Expert_24,C1,C4,3.0
Expert_24,C1,C5,3.0
Expert_24,C1,C6,2.0
Expert_24,C1,C7,2.0
Expert_24,C2,C3,2.0
Expert_24,C2,C4,2.0
Expert_24,C2,C5,3.0
Expert_24,C2,C6,2.0
Expert_24,C2,C7,2.0
Expert_24,C3,C4,2.0
Expert_24,C3,C5,2.0
Expert_24,C3,C6,1.0
Expert_24,C3,C7,2.0
Expert_24,C4,C5,2.0
Expert_24,C4,C6,1.0
Expert_24,C4,C7,2.0
Expert_24,C5,C6,0.5
Expert_24,C5,C7,1.0
Expert_24,C6,C7,2.0
Expert_25,C1,C2,2.0
Expert_25,C1,C3,2.0
Expert_25,C1,C4,3.0
Expert_25,C1,C5,5.0
Expert_25,C1,C6,2.0
Expert_25,C1,C7,3.0
Expert_25,C2,C3,1.0
Expert_25,C2,C4,2.0
Expert_25,C2,C5,3.0
Expert_25,C2,C6,2.0
Expert_25,C2,C7,2.0
Expert_25,C3,C4,2.0
Expert_25,C3,C5,2.0
Expert_25,C3,C6,1.0
Expert_25,C3,C7,2.0
Expert_25,C4,C5,2.0
Expert_25,C4,C6,1.0
Expert_25,C4,C7,1.0
Expert_25,C5,C6,1.0
Expert_25,C5,C7,2.0
Expert_25,C6,C7,2.0
Expert_26,C1,C2,2.0
Expert_26,C1,C3,2.0
Expert_26,C1,C4,3.0
Expert_26,C1,C5,4.0
Expert_26,C1,C6,2.0
Expert_26,C1,C7,2.0
Expert_26,C2,C3,2.0
Expert_26,C2,C4,2.0
Expert_26,C2,C5,3.0
Expert_26,C2,C6,2.0
Expert_26,C2,C7,3.0
Expert_26,C3,C4,1.0
Expert_26,C3,C5,2.0
Expert_26,C3,C6,1.0
Expert_26,C3,C7,2.0
Expert_26,C4,C5,2.0
Expert_26,C4,C6,1.0
Expert_26,C4,C7,1.0
Expert_26,C5,C6,1.0
Expert_26,C5,C7,2.0
Expert_26,C6,C7,2.0
Expert_27,C1,C2,0.5
Expert_27,C1,C3,2.0
Expert_27,C1,C4,3.0
Expert_27,C1,C5,4.0
Expert_27,C1,C6,2.0
Expert_27,C1,C7,3.0
Expert_27,C2,C3,2.0
Expert_27,C2,C4,2.0
Expert_27,C2,C5,3.0
Expert_27,C2,C6,2.0
Expert_27,C2,C7,2.0
Expert_27,C3,C4,0.5
Expert_27,C3,C5,2.0
Expert_27,C3,C6,2.0
Expert_27,C3,C7,2.0
Expert_27,C4,C5,2.0
Expert_27,C4,C6,0.5
Expert_27,C4,C7,1.0
Expert_27,C5,C6,1.0
Expert_27,C5,C7,1.0
Expert_27,C6,C7,2.0
Expert_28,C1,C2,1.0
Expert_28,C1,C3,2.0
Expert_28,C1,C4,4.0
Expert_28,C1,C5,3.0
Expert_28,C1,C6,2.0
Expert_28,C1,C7,4.0
Expert_28,C2,C3,2.0
Expert_28,C2,C4,2.0
Expert_28,C2,C5,3.0
Expert_28,C2,C6,0.5
Expert_28,C2,C7,2.0
Expert_28,C3,C4,1.0
Expert_28,C3,C5,2.0
Expert_28,C3,C6,1.0
Expert_28,C3,C7,2.0
Expert_28,C4,C5,2.0
Expert_28,C4,C6,1.0
Expert_28,C4,C7,1.0
Expert_28,C5,C6,0.5
Expert_28,C5,C7,1.0
Expert_28,C6,C7,2.0
Expert_29,C1,C2,2.0
Expert_29,C1,C3,2.0
Expert_29,C1,C4,3.0
Expert_29,C1,C5,4.0
Expert_29,C1,C6,2.0
Expert_29,C1,C7,2.0
Expert_29,C2,C3,1.0
Expert_29,C2,C4,2.0
Expert_29,C2,C5,3.0
Expert_29,C2,C6,2.0
Expert_29,C2,C7,2.0
Expert_29,C3,C4,2.0
Expert_29,C3,C5,2.0
Expert_29,C3,C6,1.0
Expert_29,C3,C7,2.0
Expert_29,C4,C5,2.0
Expert_29,C4,C6,0.5
Expert_29,C4,C7,1.0
Expert_29,C5,C6,0.5
Expert_29,C5,C7,2.0
Expert_29,C6,C7,1.0
Expert_30,C1,C2,2.0
Expert_30,C1,C3,2.0
Expert_30,C1,C4,3.0
Expert_30,C1,C5,3.0
Expert_30,C1,C6,2.0
Expert_30,C1,C7,4.0
Expert_30,C2,C3,2.0
Expert_30,C2,C4,3.0
Expert_30,C2,C5,2.0
Expert_30,C2,C6,2.0
Expert_30,C2,C7,2.0
Expert_30,C3,C4,2.0
Expert_30,C3,C5,2.0
Expert_30,C3,C6,1.0
Expert_30,C3,C7,1.0
Expert_30,C4,C5,2.0
Expert_30,C4,C6,1.0
Expert_30,C4,C7,1.0
Expert_30,C5,C6,0.5
Expert_30,C5,C7,1.0
Expert_30,C6,C7,2.0
Expert_31,C1,C2,2.0
Expert_31,C1,C3,2.0
Expert_31,C1,C4,3.0
Expert_31,C1,C5,3.0
Expert_31,C1,C6,2.0
Expert_31,C1,C7,2.0
Expert_31,C2,C3,2.0
Expert_31,C2,C4,2.0
Expert_31,C2,C5,3.0
Expert_31,C2,C6,2.0
Expert_31,C2,C7,2.0
Expert_31,C3,C4,2.0
Expert_31,C3,C5,4.0
Expert_31,C3,C6,1.0
Expert_31,C3,C7,2.0
Expert_31,C4,C5,2.0
Expert_31,C4,C6,1.0
Expert_31,C4,C7,1.0
Expert_31,C5,C6,2.0
Expert_31,C5,C7,1.0
Expert_31,C6,C7,2.0
Expert_32,C1,C2,1.0
Expert_32,C1,C3,2.0
Expert_32,C1,C4,3.0
Expert_32,C1,C5,3.0
Expert_32,C1,C6,2.0
Expert_32,C1,C7,2.0
Expert_32,C2,C3,2.0
Expert_32,C2,C4,4.0
Expert_32,C2,C5,3.0
Expert_32,C2,C6,1.0
Expert_32,C2,C7,3.0
Expert_32,C3,C4,2.0
Expert_32,C3,C5,2.0
Expert_32,C3,C6,2.0
Expert_32,C3,C7,2.0
Expert_32,C4,C5,2.0
Expert_32,C4,C6,0.5
Expert_32,C4,C7,2.0
Expert_32,C5,C6,1.0
Expert_32,C5,C7,1.0
Expert_32,C6,C7,0.3333333333333333
Expert_33,C1,C2,1.0
Expert_33,C1,C3,2.0
Expert_33,C1,C4,2.0
Expert_33,C1,C5,3.0
Expert_33,C1,C6,2.0
Expert_33,C1,C7,2.0
Expert_33,C2,C3,2.0
Expert_33,C2,C4,3.0
Expert_33,C2,C5,3.0
Expert_33,C2,C6,2.0
Expert_33,C2,C7,2.0
Expert_33,C3,C4,2.0
Expert_33,C3,C5,2.0
Expert_33,C3,C6,2.0
Expert_33,C3,C7,2.0
Expert_33,C4,C5,2.0
Expert_33,C4,C6,1.0
Expert_33,C4,C7,1.0
Expert_33,C5,C6,0.5
Expert_33,C5,C7,1.0
Expert_33,C6,C7,1.0
Expert_34,C1,C2,2.0
Expert_34,C1,C3,2.0
Expert_34,C1,C4,3.0
Expert_34,C1,C5,3.0
Expert_34,C1,C6,2.0
Expert_34,C1,C7,2.0
Expert_34,C2,C3,1.0
Expert_34,C2,C4,2.0
Expert_34,C2,C5,3.0
Expert_34,C2,C6,2.0
Expert_34,C2,C7,2.0
Expert_34,C3,C4,2.0
Expert_34,C3,C5,2.0
Expert_34,C3,C6,2.0
Expert_34,C3,C7,2.0
Expert_34,C4,C5,2.0
Expert_34,C4,C6,1.0
Expert_34,C4,C7,2.0
Expert_34,C5,C6,0.5
Expert_34,C5,C7,1.0
Expert_34,C6,C7,2.0
Expert_35,C1,C2,2.0
Expert_35,C1,C3,2.0
Expert_35,C1,C4,3.0
Expert_35,C1,C5,4.0
Expert_35,C1,C6,2.0
Expert_35,C1,C7,2.0
Expert_35,C2,C3,2.0
Expert_35,C2,C4,2.0
Expert_35,C2,C5,3.0
Expert_35,C2,C6,2.0
Expert_35,C2,C7,2.0
Expert_35,C3,C4,2.0
Expert_35,C3,C5,2.0
Expert_35,C3,C6,1.0
Expert_35,C3,C7,1.0
Expert_35,C4,C5,2.0
Expert_35,C4,C6,0.5
Expert_35,C4,C7,1.0
Expert_35,C5,C6,0.5
Expert_35,C5,C7,2.0
Expert_35,C6,C7,1.0
Expert_36,C1,C2,2.0
Expert_36,C1,C3,2.0
Expert_36,C1,C4,3.0
Expert_36,C1,C5,3.0
Expert_36,C1,C6,2.0
Expert_36,C1,C7,2.0
Expert_36,C2,C3,2.0
Expert_36,C2,C4,2.0
Expert_36,C2,C5,2.0
Expert_36,C2,C6,1.0
Expert_36,C2,C7,2.0
Expert_36,C3,C4,2.0
Expert_36,C3,C5,2.0
Expert_36,C3,C6,2.0
Expert_36,C3,C7,2.0
Expert_36,C4,C5,1.0
Expert_36,C4,C6,1.0
Expert_36,C4,C7,1.0
Expert_36,C5,C6,1.0
Expert_36,C5,C7,2.0
Expert_36,C6,C7,1.0
Expert_37,C1,C2,2.0
Expert_37,C1,C3,3.0
Expert_37,C1,C4,3.0
Expert_37,C1,C5,3.0
Expert_37,C1,C6,2.0
Expert_37,C1,C7,2.0
Expert_37,C2,C3,2.0
Expert_37,C2,C4,2.0
Expert_37,C2,C5,3.0
Expert_37,C2,C6,1.0
Expert_37,C2,C7,2.0
Expert_37,C3,C4,2.0
Expert_37,C3,C5,2.0
Expert_37,C3,C6,1.0
Expert_37,C3,C7,2.0
Expert_37,C4,C5,1.0
Expert_37,C4,C6,1.0
Expert_37,C4,C7,2.0
Expert_37,C5,C6,0.5
Expert_37,C5,C7,1.0
Expert_37,C6,C7,2.0
